phrank_style,resnik_style,lirical_style,sapbert,sapbert_name,bm25,ic,hybrid_dense_bm25,hybrid_dense_ic,hybrid,hybrid_tuned,case_id,subset,len_bin,single_gold
1032,1032,645,2168,154,1563,574,2165,994,1173,920,RAMEDIS_0,RAMEDIS,1-6,True
1762,1659,841,797,418,254,156,419,279,251,212,RAMEDIS_1,RAMEDIS,1-6,True
4,21,11,158,76,91,14,89,20,21,30,RAMEDIS_2,RAMEDIS,1-6,True
59,38,28,774,527,521,294,706,501,535,426,RAMEDIS_3,RAMEDIS,7-9,True
207,37,14,23,23,791,4,57,3,15,21,RAMEDIS_4,RAMEDIS,15+,True
2,64,53,16,10,366,13,38,1,12,44,RAMEDIS_5,RAMEDIS,15+,True
9,7,2,48,53,50,37,27,11,12,46,RAMEDIS_6,RAMEDIS,1-6,True
1,1,2,206,185,35,106,45,113,33,46,RAMEDIS_7,RAMEDIS,10-14,True
22,33,52,12,2,40,18,13,10,13,20,RAMEDIS_8,RAMEDIS,15+,True
10,24,20,12,9,15,15,4,5,3,9,RAMEDIS_9,RAMEDIS,10-14,True
88,57,122,1490,1153,545,549,887,916,793,582,RAMEDIS_10,RAMEDIS,10-14,True
1,1,1,210,74,33,2,62,25,21,10,RAMEDIS_11,RAMEDIS,15+,True
2,2,4,29,20,8,22,11,14,10,9,RAMEDIS_12,RAMEDIS,1-6,True
2147,1524,807,1365,331,2803,722,2125,1034,1388,1409,RAMEDIS_13,RAMEDIS,7-9,True
2,2,1,13,1,10,4,1,2,1,3,RAMEDIS_14,RAMEDIS,10-14,True
97,174,78,8,5,97,18,16,4,10,38,RAMEDIS_16,RAMEDIS,10-14,True
71,89,41,1332,64,857,28,1152,89,134,78,RAMEDIS_17,RAMEDIS,10-14,True
602,662,324,379,37,166,140,225,208,182,165,RAMEDIS_18,RAMEDIS,10-14,True
1001,1044,1656,19,140,716,341,56,43,84,538,RAMEDIS_19,RAMEDIS,10-14,True
4,115,143,81,50,64,24,42,13,19,37,RAMEDIS_21,RAMEDIS,1-6,True
30,81,113,13,3,61,25,21,13,18,37,RAMEDIS_22,RAMEDIS,15+,True
4,102,77,147,88,117,14,100,19,22,31,RAMEDIS_23,RAMEDIS,7-9,True
1150,1470,1267,1623,867,1345,610,1578,1014,1146,978,RAMEDIS_24,RAMEDIS,7-9,True
48,8,4,10,13,1218,5,41,2,11,21,RAMEDIS_25,RAMEDIS,10-14,True
151,309,403,48,3,69,292,38,88,50,105,RAMEDIS_26,RAMEDIS,10-14,True
17,1,1,63,59,6,17,19,26,12,8,RAMEDIS_27,RAMEDIS,7-9,True
10,21,13,181,79,405,33,255,62,95,89,RAMEDIS_28,RAMEDIS,10-14,True
3,114,103,34,31,246,15,44,6,12,39,RAMEDIS_29,RAMEDIS,10-14,True
4,5,6,123,213,492,27,215,24,50,74,RAMEDIS_30,RAMEDIS,7-9,True
2,99,66,81,50,139,10,73,5,10,23,RAMEDIS_31,RAMEDIS,10-14,True
17,9,3,17,15,286,22,46,4,14,61,RAMEDIS_32,RAMEDIS,10-14,True
216,163,93,1985,132,368,40,727,117,143,91,RAMEDIS_33,RAMEDIS,1-6,True
30,26,20,102,184,227,28,119,49,60,68,RAMEDIS_34,RAMEDIS,15+,True
4,67,36,97,50,113,14,69,14,18,29,RAMEDIS_35,RAMEDIS,1-6,True
70,4,3,188,181,17,63,36,80,41,26,RAMEDIS_36,RAMEDIS,1-6,True
27,40,43,79,28,120,103,67,60,57,116,RAMEDIS_37,RAMEDIS,10-14,True
2,7,8,108,68,118,14,81,18,18,32,RAMEDIS_39,RAMEDIS,1-6,True
31,42,33,7,8,3152,8,48,2,20,29,RAMEDIS_40,RAMEDIS,1-6,True
588,943,416,965,1903,1119,47,1126,110,176,120,RAMEDIS_41,RAMEDIS,7-9,True
11,31,40,14,10,4,2,4,3,3,3,RAMEDIS_42,RAMEDIS,15+,True
1,12,8,8,2,8,6,3,2,2,6,RAMEDIS_43,RAMEDIS,7-9,True
1188,672,402,3,1,3754,193,42,32,56,505,RAMEDIS_44,RAMEDIS,1-6,True
9,42,24,43,17,184,17,48,12,14,46,RAMEDIS_45,RAMEDIS,7-9,True
5,10,7,16,7,45,13,4,4,3,19,RAMEDIS_46,RAMEDIS,10-14,True
39,42,32,664,25,47,27,104,75,51,39,RAMEDIS_47,RAMEDIS,10-14,True
142,105,124,310,16,87,180,131,202,132,113,RAMEDIS_49,RAMEDIS,1-6,True
12,14,4,25,20,30,8,5,5,4,11,RAMEDIS_50,RAMEDIS,1-6,True
42,16,35,1399,1649,119,43,252,97,86,76,RAMEDIS_51,RAMEDIS,7-9,True
2,6,5,85,54,19,12,9,10,5,12,RAMEDIS_52,RAMEDIS,1-6,True
13,30,16,229,172,77,23,101,38,32,37,RAMEDIS_53,RAMEDIS,7-9,True
1,6,1,359,264,218,49,295,92,100,98,RAMEDIS_54,RAMEDIS,15+,True
21,21,41,11,2,23,23,9,9,13,21,RAMEDIS_55,RAMEDIS,10-14,True
3,14,19,106,45,176,14,120,13,22,41,RAMEDIS_56,RAMEDIS,7-9,True
1,40,39,158,88,165,13,152,14,25,33,RAMEDIS_57,RAMEDIS,10-14,True
3384,2487,1913,1664,634,3764,2912,2558,2370,2790,3484,RAMEDIS_58,RAMEDIS,15+,True
156,131,180,145,27,850,280,284,190,280,521,RAMEDIS_59,RAMEDIS,1-6,True
2,21,10,176,129,165,14,160,17,31,34,RAMEDIS_60,RAMEDIS,1-6,True
857,1150,1100,1015,965,3510,811,1773,1024,1379,1514,RAMEDIS_61,RAMEDIS,1-6,True
1,52,29,90,72,82,11,42,11,13,23,RAMEDIS_62,RAMEDIS,7-9,True
1,3,1,146,139,76,9,76,7,14,22,RAMEDIS_63,RAMEDIS,15+,True
2654,2875,2469,194,1019,485,1957,301,436,481,766,RAMEDIS_64,RAMEDIS,7-9,True
9,99,89,15,7,142,13,9,2,3,31,RAMEDIS_65,RAMEDIS,10-14,True
12,82,38,101,27,271,36,140,38,48,84,RAMEDIS_66,RAMEDIS,7-9,True
2,3,5,292,167,8,12,15,27,10,7,RAMEDIS_68,RAMEDIS,1-6,True
471,1080,674,470,1195,813,37,639,83,153,111,RAMEDIS_70,RAMEDIS,10-14,True
1239,1172,1137,390,391,325,623,375,508,453,448,RAMEDIS_71,RAMEDIS,1-6,True
26,124,200,1,1,484,42,15,2,10,110,RAMEDIS_72,RAMEDIS,10-14,True
9,9,6,46,18,40,16,17,17,7,21,RAMEDIS_73,RAMEDIS,7-9,True
23,141,239,58,49,156,63,66,35,47,113,RAMEDIS_74,RAMEDIS,7-9,True
2,2,1,1,1,1,5,1,1,1,1,RAMEDIS_75,RAMEDIS,1-6,True
19,7,4,15,1,9,18,5,7,4,12,RAMEDIS_76,RAMEDIS,7-9,True
1,98,52,121,59,65,14,58,18,19,25,RAMEDIS_77,RAMEDIS,1-6,True
256,510,148,895,96,27,17,74,65,30,16,RAMEDIS_78,RAMEDIS,15+,True
36,60,80,1828,1495,422,300,765,582,541,371,RAMEDIS_79,RAMEDIS,10-14,True
11,2,1,9,1,14,19,3,3,2,9,RAMEDIS_80,RAMEDIS,10-14,True
6,7,5,82,133,3,3,13,13,7,2,RAMEDIS_81,RAMEDIS,10-14,True
3,5,2,91,110,72,25,55,7,11,38,RAMEDIS_82,RAMEDIS,15+,True
540,524,287,1588,590,1019,70,1380,182,266,181,RAMEDIS_83,RAMEDIS,10-14,True
14,35,27,50,18,54,14,30,20,21,25,RAMEDIS_84,RAMEDIS,10-14,True
99,102,58,7,7,774,22,40,5,26,64,RAMEDIS_85,RAMEDIS,10-14,True
2526,1869,973,270,285,1103,319,476,283,403,608,RAMEDIS_86,RAMEDIS,7-9,True
19,45,44,23,1,47,57,13,10,13,43,RAMEDIS_87,RAMEDIS,15+,True
6,23,16,6,6,6,22,3,8,3,8,RAMEDIS_88,RAMEDIS,7-9,True
11,24,16,464,346,772,16,639,49,92,53,RAMEDIS_89,RAMEDIS,10-14,True
88,177,79,35,43,1135,4,91,6,23,18,RAMEDIS_90,RAMEDIS,10-14,True
14,62,73,287,208,883,31,475,59,107,81,RAMEDIS_91,RAMEDIS,10-14,True
1,2,1,164,127,59,9,59,10,12,17,RAMEDIS_92,RAMEDIS,15+,True
252,103,183,345,48,885,169,527,209,308,349,RAMEDIS_93,RAMEDIS,15+,True
20,80,70,23,17,57,40,15,20,18,49,RAMEDIS_95,RAMEDIS,7-9,True
63,63,48,404,456,327,48,376,84,112,103,RAMEDIS_96,RAMEDIS,1-6,True
1,91,115,14,14,14,8,3,3,3,10,RAMEDIS_97,RAMEDIS,7-9,True
43,11,2,17,11,1017,1,71,2,16,13,RAMEDIS_98,RAMEDIS,15+,True
284,151,65,16,29,1168,19,55,5,25,60,RAMEDIS_99,RAMEDIS,15+,True
1687,1154,548,337,4,285,599,330,457,396,381,RAMEDIS_100,RAMEDIS,1-6,True
1603,1574,1163,202,179,527,671,294,325,381,629,RAMEDIS_101,RAMEDIS,1-6,True
5,9,5,16,4,2,1,4,4,3,1,RAMEDIS_102,RAMEDIS,1-6,True
5,1,1,14,11,2,2,5,4,2,2,RAMEDIS_103,RAMEDIS,15+,True
2970,3309,3277,3760,3815,761,3078,1532,3723,1987,1159,RAMEDIS_104,RAMEDIS,1-6,True
150,92,175,172,14,349,160,235,142,175,249,RAMEDIS_105,RAMEDIS,15+,True
8,7,6,151,80,200,16,156,36,39,44,RAMEDIS_106,RAMEDIS,1-6,True
2,94,73,44,27,110,12,28,7,9,29,RAMEDIS_107,RAMEDIS,10-14,True
4,3,4,1,3,5,6,1,1,1,2,RAMEDIS_108,RAMEDIS,1-6,True
1466,1930,1221,1949,49,316,397,608,723,543,364,RAMEDIS_109,RAMEDIS,7-9,True
17,7,163,1072,942,529,530,778,788,702,541,RAMEDIS_110,RAMEDIS,7-9,True
4,22,11,196,93,120,14,126,25,27,32,RAMEDIS_111,RAMEDIS,1-6,True
1516,256,134,1177,1015,1525,257,1468,475,672,570,RAMEDIS_112,RAMEDIS,15+,True
7,6,5,170,15,40,36,63,45,30,36,RAMEDIS_113,RAMEDIS,1-6,True
4,2,2,37,66,2,3,4,4,2,2,RAMEDIS_114,RAMEDIS,10-14,True
281,120,139,21,3,115,491,15,50,38,180,RAMEDIS_115,RAMEDIS,15+,True
101,168,169,1378,2042,143,121,293,248,174,137,RAMEDIS_116,RAMEDIS,1-6,True
1430,1655,707,159,180,170,456,148,251,192,253,RAMEDIS_117,RAMEDIS,1-6,True
2,101,69,52,29,90,14,26,10,12,30,RAMEDIS_118,RAMEDIS,1-6,True
3,100,76,83,74,437,13,147,13,30,37,RAMEDIS_119,RAMEDIS,7-9,True
2,42,40,129,73,115,14,91,24,22,29,RAMEDIS_121,RAMEDIS,10-14,True
3,51,43,57,33,488,15,107,13,24,43,RAMEDIS_123,RAMEDIS,7-9,True
27,49,50,45,10,73,30,35,25,31,43,RAMEDIS_124,RAMEDIS,7-9,True
1,2,2,463,276,9,64,35,122,30,11,RAMEDIS_126,RAMEDIS,15+,True
994,883,547,218,681,106,325,135,262,149,153,RAMEDIS_127,RAMEDIS,7-9,True
2,17,6,90,45,101,11,57,12,16,27,RAMEDIS_128,RAMEDIS,1-6,True
33,135,24,64,342,526,1,126,6,19,11,RAMEDIS_129,RAMEDIS,10-14,True
4,3,2,13,3,2,4,2,1,2,2,RAMEDIS_130,RAMEDIS,1-6,True
590,406,600,2564,174,902,499,1467,935,962,673,RAMEDIS_131,RAMEDIS,1-6,True
92,936,427,2351,2334,88,225,227,482,215,123,RAMEDIS_132,RAMEDIS,7-9,True
37,3,3,16,20,1403,7,55,5,15,26,RAMEDIS_133,RAMEDIS,7-9,True
19,31,123,27,12,48,54,20,22,21,48,RAMEDIS_134,RAMEDIS,10-14,True
13,1,1,21,15,3,12,5,8,5,4,RAMEDIS_135,RAMEDIS,15+,True
3,9,14,45,76,4,11,9,8,3,3,RAMEDIS_136,RAMEDIS,1-6,True
3,19,29,21,6,36,2,5,1,2,7,RAMEDIS_138,RAMEDIS,15+,True
2,2,5,188,105,10,14,12,27,7,8,RAMEDIS_140,RAMEDIS,1-6,True
9,43,26,224,113,165,17,193,47,53,42,RAMEDIS_141,RAMEDIS,7-9,True
137,84,34,136,409,370,22,204,28,48,59,RAMEDIS_143,RAMEDIS,15+,True
30,31,21,26,15,56,14,25,11,14,27,RAMEDIS_144,RAMEDIS,15+,True
3,2,3,1,1,1,3,1,2,1,1,RAMEDIS_145,RAMEDIS,7-9,True
1,1,1,202,198,24,6,32,9,10,11,RAMEDIS_147,RAMEDIS,10-14,True
1873,1326,1032,1464,22,1006,752,1302,1074,1121,937,RAMEDIS_148,RAMEDIS,7-9,True
53,24,17,150,130,67,57,75,71,59,63,RAMEDIS_149,RAMEDIS,10-14,True
2182,2239,1348,1757,502,2012,1214,2083,1619,1805,1679,RAMEDIS_150,RAMEDIS,7-9,True
2,8,5,72,31,23,6,22,11,10,7,RAMEDIS_151,RAMEDIS,7-9,True
121,87,46,24,29,1382,17,78,9,26,53,RAMEDIS_152,RAMEDIS,15+,True
1,6,4,44,16,24,4,17,10,9,9,RAMEDIS_153,RAMEDIS,10-14,True
94,146,125,584,588,3499,61,1162,125,216,160,RAMEDIS_154,RAMEDIS,1-6,True
400,858,333,133,579,253,19,176,28,51,50,RAMEDIS_155,RAMEDIS,10-14,True
5,118,39,44,29,11,11,12,12,5,8,RAMEDIS_158,RAMEDIS,7-9,True
1231,2096,1061,2944,1185,903,12,1571,47,96,39,RAMEDIS_160,RAMEDIS,15+,True
9,30,8,5,5,5,1,3,2,2,3,RAMEDIS_162,RAMEDIS,10-14,True
3267,3380,3184,239,147,1127,3152,411,516,652,1626,RAMEDIS_163,RAMEDIS,10-14,True
8,4,2,63,64,305,1,102,8,17,9,RAMEDIS_164,RAMEDIS,10-14,True
3,98,122,18,14,58,11,5,6,4,21,RAMEDIS_165,RAMEDIS,7-9,True
1,16,13,40,30,9,9,2,3,1,6,RAMEDIS_166,RAMEDIS,10-14,True
7,17,10,100,18,71,36,67,42,38,54,RAMEDIS_167,RAMEDIS,10-14,True
45,60,84,1743,1447,351,355,683,677,541,381,RAMEDIS_168,RAMEDIS,7-9,True
4,67,36,181,107,110,14,107,19,24,29,RAMEDIS_169,RAMEDIS,1-6,True
21,43,34,71,29,248,27,91,37,47,60,RAMEDIS_170,RAMEDIS,7-9,True
3,63,49,19,17,227,11,27,2,7,31,RAMEDIS_172,RAMEDIS,10-14,True
4,3,3,1,2,4,5,1,2,1,4,RAMEDIS_173,RAMEDIS,1-6,True
8,45,25,65,49,361,17,120,12,25,49,RAMEDIS_174,RAMEDIS,7-9,True
7,9,9,5,7,28,10,10,3,5,17,RAMEDIS_175,RAMEDIS,15+,True
1,2,1,135,144,39,8,47,6,7,14,RAMEDIS_176,RAMEDIS,10-14,True
392,440,184,136,29,154,234,134,167,155,195,RAMEDIS_177,RAMEDIS,1-6,True
18,45,30,11,3,21,5,9,4,5,9,RAMEDIS_178,RAMEDIS,7-9,True
40,43,226,55,34,18,97,21,53,23,25,RAMEDIS_180,RAMEDIS,10-14,True
3,45,22,83,70,226,15,101,7,20,40,RAMEDIS_181,RAMEDIS,7-9,True
7,57,122,9,6,52,11,6,3,6,18,RAMEDIS_182,RAMEDIS,10-14,True
2,37,24,129,84,134,14,95,18,20,31,RAMEDIS_183,RAMEDIS,1-6,True
18,34,36,4,28,775,6,35,1,12,28,RAMEDIS_184,RAMEDIS,1-6,True
1020,540,235,721,449,318,34,483,85,113,78,RAMEDIS_185,RAMEDIS,7-9,True
19,28,20,100,60,181,80,114,66,87,126,RAMEDIS_186,RAMEDIS,7-9,True
12,38,15,54,49,51,2,22,12,11,9,RAMEDIS_187,RAMEDIS,10-14,True
318,451,151,43,402,161,14,57,10,22,37,RAMEDIS_189,RAMEDIS,7-9,True
235,286,205,1165,543,49,58,126,152,67,52,RAMEDIS_190,RAMEDIS,10-14,True
1,4,3,99,21,35,2,31,13,12,8,RAMEDIS_191,RAMEDIS,10-14,True
5,35,29,47,33,17,7,9,8,4,8,RAMEDIS_192,RAMEDIS,7-9,True
30,63,33,351,531,103,25,157,45,54,42,RAMEDIS_193,RAMEDIS,1-6,True
142,78,32,39,14,8,27,12,17,12,7,RAMEDIS_194,RAMEDIS,7-9,True
2,67,40,156,137,179,14,153,13,31,38,RAMEDIS_195,RAMEDIS,1-6,True
38,33,29,2132,2618,7,87,38,213,43,9,RAMEDIS_197,RAMEDIS,1-6,True
177,39,19,84,40,1011,22,182,41,76,73,RAMEDIS_198,RAMEDIS,10-14,True
4,3,1,2,8,2,2,1,2,1,1,RAMEDIS_199,RAMEDIS,15+,True
140,289,80,584,1015,661,3,666,31,61,17,RAMEDIS_200,RAMEDIS,15+,True
14,26,117,1515,1116,580,342,949,640,637,465,RAMEDIS_201,RAMEDIS,10-14,True
2,81,48,128,45,124,14,99,16,23,30,RAMEDIS_202,RAMEDIS,7-9,True
39,57,106,720,632,531,365,649,546,552,469,RAMEDIS_204,RAMEDIS,1-6,True
25,14,5,68,61,12,18,27,29,17,14,RAMEDIS_206,RAMEDIS,10-14,True
2,52,27,196,92,87,14,97,25,24,27,RAMEDIS_207,RAMEDIS,1-6,True
351,473,274,130,87,2881,46,282,64,114,140,RAMEDIS_208,RAMEDIS,15+,True
31,46,175,1002,788,516,482,746,723,652,514,RAMEDIS_209,RAMEDIS,7-9,True
36,131,67,2,6,78,3,4,1,3,11,RAMEDIS_210,RAMEDIS,1-6,True
541,310,509,138,34,117,808,115,270,187,193,RAMEDIS_211,RAMEDIS,15+,True
13,28,45,21,3,42,11,15,6,9,20,RAMEDIS_212,RAMEDIS,7-9,True
816,1308,855,880,165,3763,227,1613,387,617,590,RAMEDIS_213,RAMEDIS,10-14,True
144,189,60,263,16,77,18,114,35,34,30,RAMEDIS_214,RAMEDIS,7-9,True
34,46,75,1034,766,253,487,442,716,482,336,RAMEDIS_215,RAMEDIS,10-14,True
2905,1992,1291,2499,48,2805,2061,3149,2583,3022,2848,RAMEDIS_217,RAMEDIS,1-6,True
50,146,46,72,30,346,2,113,8,22,13,RAMEDIS_218,RAMEDIS,10-14,True
1032,1032,603,2510,144,1557,574,2334,1030,1199,920,RAMEDIS_219,RAMEDIS,1-6,True
1,4,1,207,188,99,21,109,28,24,40,RAMEDIS_220,RAMEDIS,10-14,True
2,3,5,158,72,3,12,7,23,4,3,RAMEDIS_221,RAMEDIS,1-6,True
45,190,209,28,65,1226,4,85,3,26,17,RAMEDIS_222,RAMEDIS,10-14,True
15,96,70,248,285,83,33,117,46,40,49,RAMEDIS_223,RAMEDIS,7-9,True
2,4,2,91,52,60,10,29,21,11,20,RAMEDIS_224,RAMEDIS,1-6,True
33,205,264,754,905,261,623,423,728,495,362,RAMEDIS_225,RAMEDIS,7-9,True
142,77,153,774,49,411,161,574,270,296,251,RAMEDIS_227,RAMEDIS,15+,True
33,50,120,23,4,31,37,18,18,19,30,RAMEDIS_228,RAMEDIS,15+,True
7,35,31,6,3,4,1,4,2,2,2,RAMEDIS_229,RAMEDIS,10-14,True
3,6,6,279,492,4,6,16,19,6,2,RAMEDIS_231,RAMEDIS,10-14,True
10,97,50,114,43,169,17,121,33,34,45,RAMEDIS_232,RAMEDIS,7-9,True
4,13,5,7,4,18,9,2,4,2,7,RAMEDIS_233,RAMEDIS,7-9,True
217,180,80,88,17,64,131,60,90,59,86,RAMEDIS_234,RAMEDIS,1-6,True
63,62,65,299,132,328,75,280,118,134,145,RAMEDIS_235,RAMEDIS,10-14,True
32,58,38,2,23,1033,8,36,1,12,33,RAMEDIS_236,RAMEDIS,1-6,True
43,74,69,12,7,259,51,32,16,30,102,RAMEDIS_237,RAMEDIS,7-9,True
9,77,45,306,180,182,17,235,44,49,44,RAMEDIS_238,RAMEDIS,7-9,True
7,12,43,192,208,440,210,279,205,244,341,RAMEDIS_239,RAMEDIS,10-14,True
1,3,5,61,26,7,8,11,14,7,4,RAMEDIS_240,RAMEDIS,1-6,True
1,22,10,11,10,69,8,4,2,3,17,RAMEDIS_241,RAMEDIS,7-9,True
29,35,68,52,25,506,30,92,22,51,74,RAMEDIS_242,RAMEDIS,10-14,True
10,41,24,157,74,164,17,157,39,41,44,RAMEDIS_243,RAMEDIS,7-9,True
2,40,30,571,444,196,16,314,45,67,40,RAMEDIS_244,RAMEDIS,7-9,True
1,4,1,37,22,3,3,8,6,4,1,RAMEDIS_245,RAMEDIS,7-9,True
9,70,56,355,426,5,23,28,52,15,6,RAMEDIS_246,RAMEDIS,7-9,True
252,97,108,721,494,1182,961,1011,979,1090,1187,RAMEDIS_247,RAMEDIS,7-9,True
5,7,4,103,58,52,22,53,34,33,34,RAMEDIS_248,RAMEDIS,10-14,True
207,214,344,323,32,679,449,470,379,459,592,RAMEDIS_249,RAMEDIS,10-14,True
1452,1002,569,1209,1449,764,170,1030,369,493,369,RAMEDIS_250,RAMEDIS,10-14,True
20,20,10,23,9,7,58,4,10,5,8,RAMEDIS_252,RAMEDIS,15+,True
6,4,4,1,4,14,1,3,1,2,4,RAMEDIS_253,RAMEDIS,15+,True
4,2,7,21,19,16,20,14,13,12,15,RAMEDIS_254,RAMEDIS,1-6,True
16,131,106,51,47,311,25,77,12,22,61,RAMEDIS_256,RAMEDIS,10-14,True
4,115,161,72,44,99,24,45,13,23,43,RAMEDIS_257,RAMEDIS,1-6,True
2,3,3,5,5,48,7,5,2,3,13,RAMEDIS_258,RAMEDIS,10-14,True
3,102,96,12,2,44,17,4,3,2,22,RAMEDIS_261,RAMEDIS,1-6,True
2243,1474,893,2317,1860,1900,716,2433,1272,1556,1270,RAMEDIS_262,RAMEDIS,15+,True
2,14,7,41,60,226,13,51,5,13,40,RAMEDIS_263,RAMEDIS,7-9,True
656,1360,753,953,20,614,191,894,332,439,377,RAMEDIS_264,RAMEDIS,10-14,True
3,102,122,10,4,40,1,6,1,3,6,RAMEDIS_265,RAMEDIS,10-14,True
2,3,3,5,6,71,11,7,3,4,20,RAMEDIS_266,RAMEDIS,7-9,True
38,114,165,106,40,1232,81,243,64,119,207,RAMEDIS_268,RAMEDIS,10-14,True
2108,1985,1465,667,862,399,1563,586,1091,781,608,RAMEDIS_269,RAMEDIS,10-14,True
3,53,38,59,45,432,13,105,12,19,39,RAMEDIS_270,RAMEDIS,7-9,True
35,25,12,42,39,15,27,12,22,13,17,RAMEDIS_271,RAMEDIS,7-9,True
7,5,6,30,5,3,11,7,11,5,3,RAMEDIS_272,RAMEDIS,7-9,True
6,3,3,2,2,2,7,1,2,1,2,RAMEDIS_273,RAMEDIS,1-6,True
61,155,321,374,136,446,36,420,68,102,85,RAMEDIS_274,RAMEDIS,1-6,True
253,157,284,76,383,104,107,68,66,66,101,RAMEDIS_275,RAMEDIS,15+,True
16,34,20,105,84,991,19,215,26,47,56,RAMEDIS_276,RAMEDIS,10-14,True
1,2,1,92,56,67,11,43,7,14,22,RAMEDIS_277,RAMEDIS,15+,True
1,2,2,10,6,1,2,1,4,1,1,RAMEDIS_278,RAMEDIS,15+,True
2,40,32,99,57,93,14,62,16,14,27,RAMEDIS_279,RAMEDIS,1-6,True
2,101,96,55,37,112,14,42,9,12,31,RAMEDIS_280,RAMEDIS,1-6,True
10,21,16,413,303,725,16,576,50,86,50,RAMEDIS_281,RAMEDIS,7-9,True
65,101,167,64,6,87,162,51,80,53,111,RAMEDIS_282,RAMEDIS,10-14,True
864,1257,740,1616,210,299,175,573,353,332,255,RAMEDIS_283,RAMEDIS,10-14,True
16,122,197,17,15,168,28,26,9,18,62,RAMEDIS_284,RAMEDIS,1-6,True
16,11,31,3,1,215,2,23,1,7,12,RAMEDIS_285,RAMEDIS,15+,True
1617,975,518,1181,910,1197,410,1315,677,841,719,RAMEDIS_286,RAMEDIS,1-6,True
3,51,33,7,2,103,11,2,2,1,25,RAMEDIS_287,RAMEDIS,15+,True
417,719,317,80,26,103,233,64,105,85,140,RAMEDIS_288,RAMEDIS,1-6,True
2324,2436,1278,499,257,2132,1242,904,816,1103,1839,RAMEDIS_289,RAMEDIS,10-14,True
1,39,18,71,60,111,9,50,8,11,21,RAMEDIS_290,RAMEDIS,7-9,True
4,101,177,97,66,106,13,83,23,26,29,RAMEDIS_291,RAMEDIS,10-14,True
121,127,67,6,6,40,62,16,20,24,41,RAMEDIS_292,RAMEDIS,1-6,True
2,2,2,10,9,45,8,6,6,5,17,RAMEDIS_293,RAMEDIS,15+,True
408,348,516,2160,199,710,374,1158,727,753,533,RAMEDIS_294,RAMEDIS,1-6,True
9,26,36,11,2,17,6,6,3,3,8,RAMEDIS_295,RAMEDIS,10-14,True
1,4,6,23,4,7,2,3,4,2,4,RAMEDIS_296,RAMEDIS,7-9,True
25,42,40,3,4,36,5,8,4,5,12,RAMEDIS_297,RAMEDIS,15+,True
6,2,3,1,1,2,5,1,1,1,2,RAMEDIS_298,RAMEDIS,10-14,True
6,11,9,28,4,6,8,10,10,7,4,RAMEDIS_299,RAMEDIS,1-6,True
13,14,22,43,7,20,15,18,14,13,15,RAMEDIS_300,RAMEDIS,7-9,True
22,6,3,87,80,17,23,29,35,22,19,RAMEDIS_301,RAMEDIS,10-14,True
1,22,12,42,12,25,5,11,8,4,7,RAMEDIS_302,RAMEDIS,7-9,True
1368,1011,323,60,16,335,518,110,113,149,426,RAMEDIS_303,RAMEDIS,1-6,True
127,120,172,126,24,455,225,204,165,210,324,RAMEDIS_304,RAMEDIS,10-14,True
8,101,107,15,17,57,11,6,7,4,22,RAMEDIS_307,RAMEDIS,1-6,True
1,1,1,6,4,4,9,5,6,4,4,RAMEDIS_308,RAMEDIS,15+,True
1096,1744,1354,227,212,418,755,282,377,384,555,RAMEDIS_309,RAMEDIS,1-6,True
